year,month,day,hour,latitude,longitude,DEM,TP,DT,tas,RH,WbT,WS,EPT,T400,T500,T650,T700,T750,T800,T850,T900,T950,T975,400RH,500RH,650RH,700RH,750RH,800RH,850RH,900RH,950RH,975RH,400VV,500VV,650VV,700VV,750VV,800VV,850VV,900VV,950VV,975VV,FR,name
2000,2,14,2,28.2,109.7,305.5163269,0.385506,5.5390106,8.0775085,0.840130845,6.7945317,2.428872147,12.4748928,-18.2955231,-5.1858887,-4.0620941,-1.9575562,-0.7429108,-0.5380768,-0.4935059,2.0705811,5.8076874,7.1286713,1.71E-06,2.82E-06,4.14E-05,4.68E-05,4.71E-05,4.54E-05,3.68E-05,0.861920023,0.832714825,0.849306145,0.062157631,0.213122368,-0.137958527,0.010257721,0.014604568,-0.09408474,-0.175789833,-0.225491524,-0.374622345,-0.294235229,FALSE,Central
2000,1,8,20,29.3,120.2,106.3207398,16.763139,8.462915,8.7024475,0.983924759,8.5730576,0.767346938,42.823281,-23.0205139,-15.9976257,-3.2040161,-0.2648224,2.55401,5.8272339,8.2451874,10.2130829,9.8675323,8.9193512,0.035776148,0.495667419,0.877423506,0.945938845,0.98928565,0.980497179,0.971257439,0.87887537,0.892314177,0.89563983,-0.134368896,-0.112277031,0.098292351,0.144164085,0.167192459,0.236076355,0.169939995,-0.001631737,-0.052024841,-0.035625458,FALSE,Southeastern
2008,2,10,20,27.3,112.7,1268,0.01,-9.3,-6.3,0.759,-7.21,1.549093621,14.159677,-10.9255737,-5.2352509,-1.6196198,-1.8971924,-2.2523865,-3.9093384,-4.8566345,-3.0908722,0.4351593,1.5566498,0.010395956,0.031343374,0.911819801,0.958226252,0.920615311,0.846815977,0.649033737,0.59833106,0.447127218,0.459220447,0.240343094,0.051100731,-0.107592583,-0.006878853,-0.014043808,-0.014222145,0.014465332,0.004308701,0.037563324,0.031927109,TRUE,Central
2001,2,24,2,29.3,107.8,402.3717346,0.81512,5.5638062,7.6400085,0.867006977,6.5638705,1.572279815,15.0882696,-30.6379456,-17.7634644,-6.9097351,-3.2486328,-0.3342346,0.4331909,2.0009552,6.3886047,9.3017822,10.695993,3.69E-06,1.19E-05,2.58E-05,4.16E-05,4.92E-05,4.86E-05,5.11E-05,0.947042322,0.904426203,0.902428923,0.203615189,0.086294174,-0.165486336,-0.366986275,-0.330273628,0.096971512,0.173494339,-0.074783325,-0.039836884,-0.033022881,FALSE,Southwestern
2005,2,1,2,22.4,109.3,97.79821777,0.228111,8.3306213,10.2693573,0.877722596,9.2215719,1.954549892,23.7397725,-16.8138489,-6.8903564,7.1247192,11.235788,14.7257629,11.7637878,10.2582642,9.977121,8.6115051,7.5387054,1.17E-06,5.73E-06,2.46E-05,3.01E-05,3.69E-05,7.06E-05,9.03E-05,0.976308632,0.975377884,0.981906729,-0.13272953,0.134917259,0.126438141,0.070338249,-0.071033478,-0.21295929,-0.204190254,-0.143104553,-0.08374691,0.0359478,FALSE,Southern
2000,12,17,8,27.3,103.8,1950,0.01,-1.2,-0.8,0.9662,-0.93,1.961375678,77.8710512,-23.7683014,-9.4389404,7.8858276,5.6950165,11.3536011,15.9740234,19.1300751,22.1974731,25.0350586,26.4482513,0.194599619,0.041738482,0.115602751,0.638172617,0.466845598,0.389012709,0.39128438,0.38521822,0.390736558,0.390513201,-0.121584892,0.263231277,0.170747757,-0.169025421,-0.20687294,0.011036873,-0.045451164,-0.034966469,-0.029377937,-0.033522606,TRUE,Southwestern
2004,2,1,14,45.6,131.9,110.2328339,1.327053,-16.5550446,-14.1229919,0.81796301,-14.5691152,1.37239283,0.597114,-46.0339874,-34.4882111,-21.1674561,-18.2625336,-15.7441162,-13.6181549,-11.8316864,-11.1527924,-13.2905792,-14.8807281,3.94E-07,3.05E-06,8.64E-06,1.07E-05,1.27E-05,1.44E-05,1.64E-05,1.001547632,0.921986322,0.925737782,-0.433858871,-0.272716522,-0.215185165,-0.237204552,-0.294859886,-0.378939629,-0.412878036,-0.254973412,-0.13112545,-0.124855995,FALSE,Northeastern
2015,12,9,20,34.4,115.9,47.54668808,0.119075,4.2835632,4.6888824,0.972060216,4.4980275,2.021925384,12.3289062,-31.987677,-19.0800079,-3.2849182,1.2651917,3.5790802,0.3770844,-0.6329102,3.6469818,5.2074066,5.378244,6.48E-07,2.02E-06,6.06E-06,8.31E-06,1.99E-05,3.09E-05,4.14E-05,0.823621235,0.863170729,0.940980225,0.016308784,0.061301231,0.232757568,0.058792114,-0.079696655,-0.010414124,0.072070122,0.049543381,0.023729324,0.02851963,FALSE,Central
2018,12,13,14,29.1,120.4,230.3569641,0.328326,-0.8334564,1.783548,0.827746706,0.7201166,1.368455249,13.6477867,-17.6809601,-13.5514282,-2.0316833,-0.7522949,0.121347,0.8623901,0.6260162,0.5821472,-0.2285065,1.3855072,3.09E-07,2.60E-06,2.06E-05,3.89E-05,4.60E-05,4.61E-05,4.42E-05,0.858048697,0.866954184,0.834599257,-0.073822021,0.080154419,0.168416977,0.065867424,-0.01604557,-0.060770035,-0.000831604,0.040505409,0.128986359,0.084136963,FALSE,Southeastern
2001,1,5,14,26.2,119.6,70.68862152,2.089962,11.3810059,13.6929413,0.8593173,12.3414374,6.228657257,22.3435401,-21.7062592,-10.4737305,-1.2638916,2.0427795,5.0026337,6.9483276,8.9257446,10.2227264,10.6744324,11.5201813,1.50E-06,1.40E-06,2.55E-05,3.75E-05,4.80E-05,6.43E-05,8.33E-05,0.989167671,0.995720997,0.947323666,0.09598732,0.002432823,-0.143873215,-0.131586075,-0.119847298,-0.147555351,-0.449005127,-0.796869278,-0.451953888,-0.145195961,FALSE,Southeastern
